Timestamp,How do you identify yourself?,How old are you,Where do you live?,Pick your highest education level,Are you currently employed?,How long have you been using a smartphone?,Select your monthly income range,How many bank account do you have?,How many bank apps do you use?,How often do you visit a bank?,How long have you been using this mobile banking app?,Select all the services that you utilize,What is the highest transfer you have conducted through the mobile app (in LKR)?,Do you feel a sense of security when you operate the application?,What is your satisfaction with the additional charges related to the application?,What is your overall rating of the mobile app? (1 - worst and 5 - best),Do you see yourself continue using the app in the future?,Which bank does the app belong to?
02/11/2020 21:51:52,Female,20 - 30,Southern,Degree / Diploma,No,2-5 years,0 - 50000,3,1,Every few months,1-2 years,Check balance,Below 50000,Maybe,Unfair,2,Yes,Boc
02/11/2020 23:38:02,Male,30 - 40,Uva,Degree / Diploma,Yes,2-5 years,100000 - 150000,2,2,Weekly,More than 2 years,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile",Below 50000,Yes,Fair,4,Yes,Commercial bank
03/11/2020 00:25:06,Male,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,Above 150000,4,1,Weekly,6 months to 1 year,"Check balance, Transfer money",100000 to 500000,Yes,Fair,4,Yes,Commercial bank
03/11/2020 02:33:58,Male,20 - 30,Central,Degree / Diploma,Yes,1-2 years,Above 150000,2,2,Every few months,More than 2 years,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile, Manage investments (Fixed deposits, Treasury bills, etc)",50000 to 100000,Yes,Unfair,3,Yes,BOC
03/11/2020 02:39:17,Male,20 - 30,Southern,Degree / Diploma,Yes,More than 5 years,100000 - 150000,3,2,Every few months,1-2 years,"Check balance, Transfer money",Below 50000,Maybe,Fair,3,Maybe,BoC
03/11/2020 05:38:56,Male,20 - 30,Southern,Degree / Diploma,No,2-5 years,0 - 50000,3,3,Monthly,1-2 years,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile",50000 to 100000,Yes,Fair,4,Yes,NTB BOC Peoples 
03/11/2020 06:45:37,Male,20 - 30,Uva,Degree / Diploma,Yes,More than 5 years,50000 - 100000,3,1,Every few months,1-2 years,"Check balance, Pay utility bills, As a mode to recharge your mobile",Below 50000,Maybe,Fair,4,Yes,BOC
03/11/2020 07:57:19,Male,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,Above 150000,5 +,2,Every few months,More than 2 years,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile, Manage investments (Fixed deposits, Treasury bills, etc)",More than 500000,Maybe,Fair,4,Yes,Sampath Bank
03/11/2020 09:05:30,Female,20 - 30,Western,Degree / Diploma,No,More than 5 years,0 - 50000,2,1,Every few months,Less than 6 months,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile",Below 50000,Yes,Fair,4,Yes,BOC
03/11/2020 14:37:42,Male,20 - 30,Southern,Degree / Diploma,Yes,More than 5 years,100000 - 150000,3,2,Every few months,1-2 years,"Check balance, Transfer money",Below 50000,Maybe,Fair,3,Maybe,BoC
03/11/2020 14:41:42,Female,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,100000 - 150000,3,2,Every few months,6 months to 1 year,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile",50000 to 100000,Yes,Fair,4,Yes,HNB and Commercial banks
05/11/2020 15:52:30,Male,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,Above 150000,4,2,Every few months,1-2 years,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile",100000 to 500000,Yes,Fair,4,Yes,Sampath Bank
05/11/2020 21:19:52,Female,20 - 30,Uva,Degree / Diploma,Yes,More than 5 years,50000 - 100000,2,1,Every few months,1-2 years,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile",50000 to 100000,Yes,Fair,4,Yes,BOC
08/11/2020 11:56:59,Male,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,100000 - 150000,3,3,Weekly,6 months to 1 year,"Check balance, Transfer money, As a mode to recharge your mobile",50000 to 100000,Yes,Unfair,4,Yes,Commercial Bank
